"generation","model","heterozygosity_loss","effective_ne","panel"
5,"Diploid arrhenotoky",-0.176831387551525,2.82755231932063,"b"
6,"Diploid arrhenotoky",-0.167077016917124,2.99263183665781,"b"
7,"Diploid arrhenotoky",-0.138990428478838,3.59737001657007,"b"
8,"Diploid arrhenotoky",-0.101817054507435,4.91076865677242,"b"
9,"Diploid arrhenotoky",-0.0604419989244643,8.27239351605265,"b"
10,"Diploid arrhenotoky",-0.0365802385695571,13.6685822605901,"b"
11,"Diploid arrhenotoky",-0.0354275953126076,14.1132920704348,"b"
12,"Diploid arrhenotoky",-0.0444650606617251,11.2447839395481,"b"
13,"Diploid arrhenotoky",-0.050843545799511,9.8340898955322,"b"
14,"Diploid arrhenotoky",-0.0535396558028625,9.33887214069964,"b"
15,"Diploid arrhenotoky",-0.0547512964627164,9.13220384362006,"b"
16,"Diploid arrhenotoky",-0.0552835690328319,9.04427859393555,"b"
17,"Diploid arrhenotoky",-0.0555223917298204,9.00537574881623,"b"
18,"Diploid arrhenotoky",-0.0556277281221069,8.98832321360426,"b"
19,"Diploid arrhenotoky",-0.0556750892896828,8.98067711034018,"b"
20,"Diploid arrhenotoky",-0.055695951211438,8.97731323596315,"b"
21,"Diploid arrhenotoky",-0.0557053553075497,8.97579769915291,"b"
22,"Diploid arrhenotoky",-0.0557094868355144,8.97513203588251,"b"
23,"Diploid arrhenotoky",-0.0557113550729232,8.97483106173824,"b"
24,"Diploid arrhenotoky",-0.0557121730244384,8.97469929562203,"b"
25,"Diploid arrhenotoky",-0.0557125443374313,8.97463948104174,"b"
26,"Diploid arrhenotoky",-0.0557127061985191,8.9746134071888,"b"
27,"Diploid arrhenotoky",-0.0557127800355756,8.97460151298721,"b"
28,"Diploid arrhenotoky",-0.0557128120464108,8.97459635646253,"b"
29,"Diploid arrhenotoky",-0.0557128267386556,8.97459398973704,"b"
30,"Diploid arrhenotoky",-0.0557128330645454,8.9745929707206,"b"
31,"Diploid arrhenotoky",-0.055712835990382,8.97459249940745,"b"
32,"Diploid arrhenotoky",-0.055712837239285,8.97459229822589,"b"
33,"Diploid arrhenotoky",-0.0557128378225223,8.97459220427417,"b"
34,"Diploid arrhenotoky",-0.0557128380687897,8.9745921646038,"b"
35,"Diploid arrhenotoky",-0.0557128381851967,8.97459214585219,"b"
36,"Diploid arrhenotoky",-0.0557128382336823,8.9745921380418,"b"
37,"Diploid arrhenotoky",-0.0557128382569513,8.97459213429348,"b"
38,"Diploid arrhenotoky",-0.0557128382664783,8.9745921327588,"b"
39,"Diploid arrhenotoky",-0.0557128382711387,8.97459213200808,"b"
40,"Diploid arrhenotoky",-0.0557128382730059,8.9745921317073,"b"
41,"Diploid arrhenotoky",-0.0557128382739416,8.97459213155657,"b"
42,"Diploid arrhenotoky",-0.0557128382743064,8.97459213149781,"b"
43,"Diploid arrhenotoky",-0.0557128382744948,8.97459213146746,"b"
44,"Diploid arrhenotoky",-0.0557128382745657,8.97459213145603,"b"
45,"Diploid arrhenotoky",-0.0557128382746036,8.97459213144993,"b"
46,"Diploid arrhenotoky",-0.0557128382746175,8.97459213144769,"b"
47,"Diploid arrhenotoky",-0.055712838274625,8.97459213144648,"b"
48,"Diploid arrhenotoky",-0.0557128382746278,8.97459213144603,"b"
49,"Diploid arrhenotoky",-0.0557128382746294,8.97459213144578,"b"
50,"Diploid arrhenotoky",-0.0557128382746297,8.97459213144573,"b"
